学校名称,位置,院校隶属,是否有研究生院,是否自划线,是否双一流,图标链接,url
北京大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10001.jpg,/sch/schoolInfo--schId-367878.dhtml
中国人民大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10002.jpg,/sch/schoolInfo--schId-367879.dhtml
清华大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10003.jpg,/sch/schoolInfo--schId-367880.dhtml
北京交通大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10004.jpg,/sch/schoolInfo--schId-367881.dhtml
北京工业大学,,北京,1,1,1,https://t1.chei.com.cn/common/xh/10005.jpg,/sch/schoolInfo--schId-367882.dhtml
北京航空航天大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10006.jpg,/sch/schoolInfo--schId-367883.dhtml
北京理工大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10007.jpg,/sch/schoolInfo--schId-367884.dhtml
北京科技大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10008.jpg,/sch/schoolInfo--schId-367896.dhtml
北方工业大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10009.jpg,/sch/schoolInfo--schId-367886.dhtml
北京化工大学,,北京,1,1,1,https://t1.chei.com.cn/common/xh/10010.jpg,/sch/schoolInfo--schId-367877.dhtml
北京工商大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10011.jpg,/sch/schoolInfo--schId-367888.dhtml
北京服装学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10012.jpg,/sch/schoolInfo--schId-367889.dhtml
北京邮电大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10013.jpg,/sch/schoolInfo--schId-367890.dhtml
北京印刷学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10015.jpg,/sch/schoolInfo--schId-367891.dhtml
北京建筑大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10016.jpg,/sch/schoolInfo--schId-367892.dhtml
北京石油化工学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10017.jpg,/sch/schoolInfo--schId-302960377.dhtml
北京电子科技学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10018.jpg,/sch/schoolInfo--schId-302960684.dhtml
中国农业大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10019.jpg,/sch/schoolInfo--schId-367893.dhtml
北京农学院,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10020.jpg,/sch/schoolInfo--schId-367894.dhtml
北京林业大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10022.jpg,/sch/schoolInfo--schId-367895.dhtml
北京协和医学院,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10023.jpg,/sch/schoolInfo--schId-367867.dhtml
首都医科大学,,北京,1,1,0,https://t1.chei.com.cn/common/xh/10025.jpg,/sch/schoolInfo--schId-367865.dhtml
北京中医药大学,,北京,1,1,1,https://t1.chei.com.cn/common/xh/10026.jpg,/sch/schoolInfo--schId-367885.dhtml
北京师范大学,,北京,0,0,1,https://t1.chei.com.cn/common/xh/10027.jpg,/sch/schoolInfo--schId-367859.dhtml
